ingredient,nutrient_name,amount
almonds,calories,1605.0
almonds,carbs,18.11731
almonds,fat,54.445
almonds,protein,20.92519
apricot,carbs,10.23875
apricot,fat,0.405
apricot,protein,0.96125
avocado,carbs,8.3235
avocado,fat,20.31
avocado,protein,1.8125
banana,calories,236.75
banana,carbs,18.233235
banana,fat,0.23027999999999998
banana,protein,0.732625
beans,calories,323.75
beans,carbs,24.885938461538462
beans,fat,1.5291702127659574
beans,protein,19.999574468085108
beef,calories,492.2
beef,carbs,0.46256041666666664
beef,fat,10.960666666666667
beef,protein,21.347135416666664
bison,carbs,-0.14955
bison,fat,8.88
bison,protein,19.88125
blueberry,carbs,14.571775
blueberry,fat,0.3063
blueberry,protein,0.703125
broccoli,calories,81.75
broccoli,carbs,6.279999999999999
broccoli,fat,0.34
broccoli,protein,2.57
butter,calories,1548.5
butter,carbs,20.104855
butter,fat,63.278333333333336
butter,protein,21.745995
chicken,calories,417.25
chicken,carbs,-0.1705111111111111
chicken,fat,6.767555555555556
chicken,protein,21.147222222222222
egg,calories,759.5555555555555
egg,carbs,1.7266666666666666
egg,fat,18.91888888888889
egg,protein,26.611111111111114
eggplant,carbs,5.399325
eggplant,fat,0.12
eggplant,protein,0.851875
flour,calories,961.3939999999999
flour,carbs,70.0840535
flour,fat,5.300036666666667
flour,protein,12.9619065
garlic,calories,370.0
garlic,carbs,28.2
garlic,fat,0.38
garlic,protein,6.62
kale,calories,92.5
kale,carbs,4.859999999999999
kale,fat,1.35
kale,protein,2.9299999999999997
kiwi,calories,149.5
kiwi,carbs,13.9090375
kiwi,fat,0.54
kiwi,protein,1.0340625
lentils,carbs,62.17125
lentils,fat,1.925
lentils,protein,23.56875
melon,calories,87.5
melon,carbs,8.16
melon,fat,0.18
melon,protein,0.82
milk,calories,121.25
milk,carbs,3.734989055555556
milk,fat,2.954111111111111
milk,protein,3.979110944444445
mozzarella,calories,769.0
mozzarella,carbs,4.44
mozzarella,fat,20.4
mozzarella,protein,23.7
mushroom,carbs,6.533613333333333
mushroom,fat,0.26896666666666663
mushroom,protein,2.6638333333333337
olive_oil,carbs,2.4095
olive_oil,fat,9.853
olive_oil,protein,26.9375
onion,calories,263.625
onion,carbs,15.629999999999999
onion,fat,3.67
onion,protein,1.5697499999999998
parmesan_cheese,calories,1090.5
parmesan_cheese,carbs,8.36594
parmesan_cheese,fat,28.75
parmesan_cheese,protein,29.86956
pasta,calories,115.5
pasta,carbs,8.05
pasta,fat,1.48
pasta,protein,1.1009375
peach,calories,108.0
peach,carbs,10.1
peach,fat,0.27
peach,protein,0.91
pecans,carbs,12.6993
pecans,fat,73.28
pecans,protein,9.9587
pine_nuts,carbs,18.5921
pine_nuts,fat,61.27
pine_nuts,protein,15.7039
pork,calories,820.5
pork,carbs,5.937884615384615
pork,fat,19.500230769230768
pork,protein,18.427596153846153
ricotta,calories,407.0
ricotta,carbs,6.86
ricotta,fat,11.0
ricotta,protein,7.81
salmon,carbs,0.0
salmon,fat,9.023
salmon,protein,21.309375000000003
salt,calories,1586.0
salt,carbs,17.1
salt,fat,56.1
salt,protein,21.0
snapper,carbs,0.4413
snapper,fat,0.5692
snapper,protein,20.6625
spinach,carbs,2.5238375
spinach,fat,0.6116
spinach,protein,2.8790625
sugar,calories,997.5
sugar,carbs,70.635875
sugar,fat,0.5976666666666667
sugar,protein,1.578125
swordfish,carbs,0.4495
swordfish,fat,8.123
swordfish,protein,19.2375
tomato,calories,58.5
tomato,carbs,6.6806600000000005
tomato,fat,0.42512999999999995
tomato,protein,1.339
tuna,calories,233.0
tuna,carbs,-0.012249999999999997
tuna,fat,0.66375
tuna,protein,21.85
walnuts,carbs,10.9096
walnuts,fat,69.74
walnuts,protein,14.5644
yogurt,calories,186.75
yogurt,carbs,7.97225
yogurt,fat,0.20249999999999999
yogurt,protein,7.528916666666667
zucchini,carbs,3.27
zucchini,fat,0.205
zucchini,protein,0.984375
