fdc_id,description
321358,"Hummus, commercial"
324038,"Sauce, salsa, ready-to-serve"
324653,"Pickles, cucumber, dill or kosher dill"
325198,"Cheese, pasteurized process, American, vitamin D fortified"
325287,"Grapefruit juice, white, canned or bottled, unsweetened"
325871,"Bread, white, commercially prepared"
325992,"Sausage, turkey, breakfast links, mild, raw"
326135,"Cheese, swiss"
326458,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)"
326698,"Mustard, prepared, yellow"
326905,"Figs, dried, uncooked"
327357,"Nectarines, raw"
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)"
327699,"Strawberries, raw"
327923,"Lettuce, cos or romaine, raw"
328637,"Cheese, cheddar"
328841,"Cheese, cottage, lowfat, 2% milkfat"
329830,"Cheese, dry white, queso seco"
330458,"Oil, coconut"
330869,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles"
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)"
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)"
332791,"Olives, green, Manzanilla, stuffed with pimiento"
333008,"Cookies, oatmeal, soft, with raisins"
333374,"Fish, haddock, raw"
333476,"Fish, pollock, raw"
334536,"Restaurant, Chinese, fried rice, without meat"
335240,"Bread, whole-wheat, commercially prepared"
746764,"Carrots, frozen, unprepared"
746765,"Cheese, dry white, queso seco"
746767,"Cheese, swiss"
746768,"Figs, dried, uncooked"
746769,"Lettuce, cos or romaine, raw"
746771,"Oranges, raw, navels"
746773,"Pears, raw, bartlett"
746777,"Sauce, salsa, ready-to-serve"
746783,"Sausage, turkey, breakfast links, mild, raw"
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles"
746952,"Ham, sliced, restaurant"
747429,"Cheese, American, restaurant"
747448,"Strawberries, raw"
747693,"Ketchup, restaurant"
748278,"Oil, canola"
748323,"Oil, corn"
748366,"Oil, soybean"
1105430,"Apples, red delicious, with skin, raw"
1105547,"Apples, honeycrisp, with skin, raw"
1105664,"Apples, granny smith, with skin, raw"
1105781,"Apples, gala, with skin, raw"
1105897,"Apples, fuji, with skin, raw"
1750339,"Apples, red delicious, with skin, raw"
1750340,"Apples, fuji, with skin, raw"
1750341,"Apples, gala, with skin, raw"
1750342,"Apples, granny smith, with skin, raw"
1750343,"Apples, honeycrisp, with skin, raw"
1750348,"Oil, peanut"
1750349,"Oil, sunflower"
1750350,"Oil, safflower"
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable"
2003591,"Orange juice, no pulp, not fortified, from concentrate, refrigerated"
2003592,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable"
2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable"
2003594,"Cranberry juice, not fortified, from concentrate, shelf stable"
